SubID,group,condition,Range,Area,Offset,Exponent,R2,Error of fit
ya09,YA,ec,2-25 Hz,Central,0.6752,0.598,0.6077,0.0871
ya10,YA,ec,2-25 Hz,Central,1.4927,1.5009,0.9836,0.0615
ya11,YA,ec,2-25 Hz,Central,0.7715,1.006,0.9654,0.0526
ya12,YA,ec,2-25 Hz,Central,1.8857,1.5625,0.9595,0.1077
ya13,YA,ec,2-25 Hz,Central,1.7434,1.7629,0.9874,0.0508
ya14,YA,ec,2-25 Hz,Central,1.331,1.2771,0.9734,0.0649
ya15,YA,ec,2-25 Hz,Central,1.0002,1.2526,0.9884,0.0301
ya16,YA,ec,2-25 Hz,Central,1.2647,1.304,0.9935,0.0257
ya17,YA,ec,2-25 Hz,Central,1.3204,1.2052,0.9827,0.0343
ya18,YA,ec,2-25 Hz,Central,1.2455,1.3711,0.9835,0.0443
ya19,YA,ec,2-25 Hz,Central,0.6834,0.9877,0.9927,0.0168
ya21,YA,ec,2-25 Hz,Central,1.1693,1.2228,0.9593,0.0619
ya22,YA,ec,2-25 Hz,Central,1.0788,1.18,0.9919,0.0285
oa01,OA,ec,2-25 Hz,Parietal,0.6741,1.0127,0.8934,0.0568
oa02,OA,ec,2-25 Hz,Parietal,1.2714,1.3701,0.9825,0.0417
oa03,OA,ec,2-25 Hz,Parietal,0.8273,1.2434,0.9453,0.1022
oa04,OA,ec,2-25 Hz,Parietal,0.9284,0.9579,0.9788,0.0524
oa05,OA,ec,2-25 Hz,Parietal,0.3361,0.5276,0.782,0.0521
oa06,OA,ec,2-25 Hz,Parietal,1.3904,1.4229,0.9835,0.0464
oa07,OA,ec,2-25 Hz,Parietal,0.7964,1.0953,0.9613,0.0509
oa08,OA,ec,2-25 Hz,Parietal,0.5055,0.9629,0.951,0.0734
oa09,OA,ec,2-25 Hz,Parietal,0.599,0.7582,0.8815,0.1175
oa10,OA,ec,2-25 Hz,Parietal,0.7527,0.8463,0.9076,0.1248
oa11,OA,ec,2-25 Hz,Parietal,0.245,0.8866,0.9429,0.06
oa12,OA,ec,2-25 Hz,Parietal,0.4064,0.7039,0.9676,0.0568
oa13,OA,ec,2-25 Hz,Parietal,0.9223,0.3758,0.893,0.0821
oa14,OA,ec,2-25 Hz,Parietal,0.3021,0.4003,0.878,0.0689
