"","group","scale","mean","std","count","ll","ul"
"1","MC","list_learn",19,7.21110255092798,3,1.08662820994081,36.9133717900592
"2","MC","story_mem",9.33333333333333,7.76745346515403,3,-9.96209074372157,28.6287574103882
"3","MC","fig_copy",17.3333333333333,2.08166599946613,3,12.1621883207911,22.5044783458756
"4","MC","line_orn",17.3333333333333,2.08166599946613,3,12.1621883207911,22.5044783458756
"5","MC","pic_name",9.33333333333333,0.577350269189626,3,7.89911575675018,10.7675509099165
"6","MC","sem_flu",14.3333333333333,2.51661147842358,3,8.08172385395756,20.5849428127091
"7","MC","dig_spn",11.3333333333333,1.52752523165195,3,7.53875029973657,15.1279163669301
"8","MC","coding",29.6666666666667,16.1967074843418,3,-10.5681852013756,69.9015185347089
"9","MC","list_rec",0.666666666666667,0.577350269189626,3,-0.767550909916487,2.10088424324982
"10","MC","list_recog",13.6666666666667,2.88675134594813,3,6.4955787837509,20.8377545495824
"11","MC","story_rec",1.66666666666667,0.577350269189626,3,0.232449090083513,3.10088424324982
"12","MC","fig_rec",5,2,3,0.0317245764993395,9.96827542350066
"13","MC","raw_ave",50.5787037333333,6.6883363172221,3,33.9639552588526,67.1934522078141
"14","OA","list_learn",28.9130434782609,5.38443078344035,23,26.5846410034264,31.2414459530953
"15","OA","story_mem",17.3478260869565,3.03926868673989,23,16.0335477506733,18.6621044232397
"16","OA","fig_copy",17.0869565217391,2.25455182964801,23,16.1120152009333,18.061897842545
"17","OA","line_orn",16.9130434782609,2.98348550704557,23,15.6228875977912,18.2031993587306
"18","OA","pic_name",9.95652173913044,0.208514414057075,23,9.86635334487374,10.0466901333871
"19","OA","sem_flu",22.6086956521739,5.22005860673111,23,20.3513730367409,24.8660182676069
"20","OA","dig_spn",12.3478260869565,2.77339135441486,23,11.1485217309299,13.5471304429832
"21","OA","coding",45.1304347826087,10.1547317579096,23,40.7391994770841,49.5216700881333
"22","OA","list_rec",5.82608695652174,2.82283181338179,23,4.60540294280322,7.04677097024026
"23","OA","list_recog",19.2608695652174,1.00983307821135,23,18.8241849957531,19.6975541346817
"24","OA","story_rec",9.08695652173913,2.27462371470058,23,8.10333546695385,10.0705775765244
"25","OA","fig_rec",13,3.63067737231197,23,11.4299773701214,14.5700226298786
"26","OA","raw_ave",74.4853579782609,7.68829370664568,23,71.1606904667268,77.8100254897949
"27","YA","list_learn",31,3.75499667110372,21,29.2907460079385,32.7092539920615
"28","YA","story_mem",16.6666666666667,3.78593889720018,21,14.943327942151,18.3900053911823
"29","YA","fig_copy",17.1904761904762,2.22753333575611,21,16.1765151726433,18.204437208309
"30","YA","line_orn",18.047619047619,3.32379587935527,21,16.534645302714,19.5605927925241
"31","YA","pic_name",9.80952380952381,0.511766315719159,21,9.5765705755364,10.0424770435112
"32","YA","sem_flu",22.1428571428571,5.28474894659826,21,19.7372682635038,24.5484460222105
"33","YA","dig_spn",12.1904761904762,1.72101852456758,21,11.4070779504281,12.9738744305242
"34","YA","coding",60.55,8.77481443798401,21,56.5557523557498,64.5442476442502
"35","YA","list_rec",7.57142857142857,1.6604646509766,21,6.81559412417071,8.32726301868644
"36","YA","list_recog",19.8571428571429,0.358568582800318,21,19.6939243951145,20.0203613191713
"37","YA","story_rec",8.90476190476191,2.77317078278208,21,7.64242969882006,10.1670941107038
"38","YA","fig_rec",15.047619047619,4.11674860145954,21,13.1736975510948,16.9215405441433
"39","YA","raw_ave",78.8264787380952,7.69118464713241,21,75.3254934608089,82.3274640153816
