"","group","scale","mean","std","count","ll","ul"
"1","MC","im_mem",43.1944444444444,24.3539201346708,3,-17.3040469910471,103.692935879936
"2","MC","vis",86.6666666666667,10.1036297108185,3,61.5678590764615,111.765474256872
"3","MC","lang",64.5833333333333,4.0181878170804,3,54.6016014440282,74.5650652226385
"4","MC","att",52.0833333333333,4.67961390738847,3,40.4585279495583,63.7081387171084
"5","MC","dm",28.4722222222222,3.12731395811047,3,20.7035436823968,36.2409007620476
"6","MC","raw_ave",50.5787037333333,6.6883363172221,3,33.9639552588526,67.1934522078141
"7","OA","im_mem",72.2826086956522,9.74814600122162,23,68.0671942559128,76.4980231353916
"8","OA","vis",85,10.6866526777352,23,80.3787448398332,89.6212551601668
"9","OA","lang",78.0434782608696,6.50421723939424,23,75.2308438105127,80.8561127112264
"10","OA","att",63.9411333659013,11.5130845677144,23,58.962502257319,68.9197644744836
"11","OA","dm",73.8224637681159,14.178722685322,23,67.6911242972795,79.9538032389524
"12","OA","raw_ave",74.4853579782609,7.68829370664568,23,71.1606904667268,77.8100254897949
"13","YA","im_mem",73.4722222222222,10.9269459661951,21,68.4983360514338,78.4461083930107
"14","YA","vis",88.0952380952381,9.582039250101,21,83.7335461218838,92.4569300685924
"15","YA","lang",76.7261904761905,7.53612332448884,21,73.2957882667355,80.1565926856455
"16","YA","att",72.2981039325843,7.4628033734794,21,68.9010765646904,75.6951313004782
"17","YA","dm",81.1111111111111,12.0216336629397,21,75.638929074944,86.5832931472782
"18","YA","raw_ave",78.8264787380952,7.69118464713241,21,75.3254934608089,82.3274640153816
