subID,cond,exponent,offset,cf_1,pw_1,bw_1,cf_2,pw_2,bw_2,cf_3,pw_3,bw_3,cf_4,pw_4,bw_4,r_squared,error,setting_am,setting_mnp,setting_mph,setting_pt,peak_width_LL,peak_width_UL
oa17,EC,0.7065153,0.5808281,11.4116693,1.6590992,2.5627873,20.42637463,0.59906578,4.88981064,NA,NA,NA,NA,NA,NA,0.9536142,0.0961096,fixed,8,0.1,2,2,8
oa17,EO,0.826718,0.8442764,11.68981623,0.62821226,2.48059512,18.6185968,0.399107,7.2330354,NA,NA,NA,NA,NA,NA,0.9628533,0.04381326,fixed,8,0.1,2,2,8
oa18,EC,1.0620801,0.9254287,8.3157669,0.6891448,2,10.64277142,1.27505944,2.08330624,NA,NA,NA,NA,NA,NA,0.9763939,0.0633545,fixed,8,0.1,2,2,8
oa18,EO,1.3752881,1.2321435,8.46218127,0.74650379,2,11.1548112,0.8498508,2,14.46651,0.4184758,2.8389738,16.3945448,0.3757573,2.0001101,0.9873912,0.04031608,fixed,8,0.1,2,2,8
oa20,EC,1.0660561,1.1846616,9.665835,1.1791046,3.2102893,17.64964689,0.23205447,5.34567365,NA,NA,NA,NA,NA,NA,0.9921531,0.03907508,fixed,8,0.1,2,2,8
oa20,EO,0.5905779,0.9378047,9.6181073,1.37940282,2.77497344,12.6336622,0.5576096,3.2194651,NA,NA,NA,NA,NA,NA,0.9904769,0.0409509,fixed,8,0.1,2,2,8
oa21,EC,0.8029078,0.8289093,11.0340526,0.8982765,4.1459717,19.88371597,0.36123849,4.88603802,NA,NA,NA,NA,NA,NA,0.9672275,0.05729419,fixed,8,0.1,2,2,8
oa21,EO,1.1036153,0.9622774,10.25810504,0.22386007,3.64066903,20.0275027,0.2948404,6.1900545,NA,NA,NA,NA,NA,NA,0.9717038,0.03401392,fixed,8,0.1,2,2,8
oa22,EC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fixed,8,0.1,2,2,8
oa22,EO,0.7523854,1.0667359,10.25229272,0.42760704,4.06352688,16.2053398,0.1530212,8,NA,NA,NA,NA,NA,NA,0.9718825,0.04945724,fixed,8,0.1,2,2,8
oa23,EC,0.4379705,1.2114416,10.9684068,0.3391686,2.3763124,15.72829101,0.32076154,5.3094362,21.478369,0.1384101,3.9801375,NA,NA,NA,0.9844366,0.0275191,fixed,8,0.1,2,2,8
oa23,EO,0.6090582,1.1815262,10.18484802,0.45094244,2.21537969,15.8857809,0.5549226,6.4903031,NA,NA,NA,NA,NA,NA,0.9846396,0.03339198,fixed,8,0.1,2,2,8
oa24,EC,0.8662911,0.863118,10.9360743,0.9401217,2.6201583,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9365391,0.08635195,fixed,8,0.1,2,2,8
oa24,EO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fixed,8,0.1,2,2,8
oa25,EC,-0.3509496,0.4340312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5142647,0.08289283,fixed,8,0.1,2,2,8
oa25,EO,0.1202478,0.7561267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8608981,0.07249448,fixed,8,0.1,2,2,8
ya01,EC,1.0593082,1.1153523,2.991,0.1393439,4.9010586,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.957773,0.06010075,fixed,8,0.1,2,2,8
ya01,EO,1.3735292,1.375721,25.76172952,0.18210696,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9704603,0.04417112,fixed,8,0.1,2,2,8
ya02,EC,0.5734967,0.7189863,13.7213618,0.1853793,2.1473115,20.44178451,0.38234723,5.34013165,NA,NA,NA,NA,NA,NA,0.8822295,0.0504077,fixed,8,0.1,2,2,8
ya02,EO,0.6142798,0.7373548,21.3755633,0.17504115,6.31861472,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7395535,0.07991431,fixed,8,0.1,2,2,8
ya03,EC,0.6219364,0.8415219,12.2896149,1.2687299,3.0011706,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9827925,0.05305712,fixed,8,0.1,2,2,8
ya03,EO,0.3165709,0.5414529,13.08166864,0.38180933,3.98501977,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9016842,0.04540054,fixed,8,0.1,2,2,8
ya04,EC,1.3019619,1.2746611,10.6707822,1.2396414,2.7710296,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9737098,0.07216295,fixed,8,0.1,2,2,8
ya04,EO,0.9302493,1.1261725,10.64445343,0.6283776,3.45007583,16.2913782,0.1593918,5.0039589,NA,NA,NA,NA,NA,NA,0.9865018,0.03412989,fixed,8,0.1,2,2,8
ya05,EC,0.7782866,0.4664947,11.550501,0.7424627,2.1320603,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8522579,0.07883019,fixed,8,0.1,2,2,8
ya05,EO,0.9858532,0.7365519,11.39597006,0.42960304,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8947207,0.06548274,fixed,8,0.1,2,2,8
ya06,EC,0.9358548,0.9698216,12.2038744,0.9577017,2.689069,22.44271714,0.33298416,2.24275426,NA,NA,NA,NA,NA,NA,0.9814166,0.04117412,fixed,8,0.1,2,2,8
ya06,EO,1.2318254,1.2825093,12.5996852,0.32226203,2.33182709,26.1515532,0.1132656,5.4700325,NA,NA,NA,NA,NA,NA,0.9841638,0.03235474,fixed,8,0.1,2,2,8
ya07,EC,1.1562869,1.2226576,9.8921192,1.2698525,3.1611243,15.00495415,0.36808276,2.10301253,17.0105432,0.2719602,2,19.6151758,0.2931451,3.3489109,0.9911164,0.04205284,fixed,8,0.1,2,2,8
ya07,EO,0.8916712,0.977232,10.43745423,0.80656886,3.49093354,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9673681,0.06556711,fixed,8,0.1,2,2,8
ya08,EC,1.4230902,1.336534,11.2242714,1.7309662,2.9520786,19.38755104,0.42930581,5.25317344,NA,NA,NA,NA,NA,NA,0.98224,0.07645025,fixed,8,0.1,2,2,8
ya08,EO,1.3773794,1.3053204,12.95289408,0.33650487,6.5604667,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9876574,0.03610551,fixed,8,0.1,2,2,8
ya09,EC,1.4219501,0.928976,13.8864217,0.411579,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7272531,0.12874061,fixed,8,0.1,2,2,8
ya09,EO,0.6813439,0.8150203,6.07348226,0.26853407,2,6.7898113,0.2328955,2.0000079,13.9031978,0.3031907,8,NA,NA,NA,0.9632797,0.0469534,fixed,8,0.1,2,2,8
ya10,EC,1.5915207,1.5168464,10.0086586,1.2537747,2.603566,12.85041989,0.65112351,2.32205046,19.0938804,0.2371829,2.4631155,NA,NA,NA,0.9938536,0.04073365,fixed,8,0.1,2,2,8
ya10,EO,1.4506433,1.4335464,10.94489322,0.98936698,2.5476825,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9864296,0.04660397,fixed,8,0.1,2,2,8
ya11,EC,1.3169289,1.1552767,12.0188844,1.0131863,4.3570258,21.5167936,0.31562508,3.15736139,NA,NA,NA,NA,NA,NA,0.9799864,0.05775188,fixed,8,0.1,2,2,8
ya11,EO,1.3074443,1.0937522,12.39178398,0.70687626,2.9613295,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9775052,0.0463314,fixed,8,0.1,2,2,8
ya12,EC,2.0738628,1.7344879,10.1303447,1.5009858,4.2434457,19.94334465,0.37218531,3.89505626,NA,NA,NA,NA,NA,NA,0.9825456,0.087773,fixed,8,0.1,2,2,8
ya12,EO,1.7507779,1.6147945,9.67742166,1.10493736,2.75495344,16.8655506,0.2858554,5.4161646,NA,NA,NA,NA,NA,NA,0.9910664,0.04648969,fixed,8,0.1,2,2,8
ya13,EC,1.2451432,1.4180405,9.9468891,0.8200316,2.4294844,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9842815,0.05196555,fixed,8,0.1,2,2,8
ya13,EO,1.2596455,1.4097252,7.08537482,0.07482287,2,9.7078635,0.2667126,2.0672155,NA,NA,NA,NA,NA,NA,0.9893653,0.03267866,fixed,8,0.1,2,2,8
ya14,EC,1.0116669,1.0883503,10.8476363,1.1120398,2.7562748,17.99060103,0.26366382,3.50537498,20.9926957,0.3347504,2.2107967,NA,NA,NA,0.9905533,0.03621066,fixed,8,0.1,2,2,8
ya14,EO,1.4506749,1.4387104,11.93816402,0.85669953,2.16981873,15.2552101,0.3927576,5.4058589,NA,NA,NA,NA,NA,NA,0.9785731,0.05736557,fixed,8,0.1,2,2,8
ya15,EC,0.8186805,1.0619719,9.7260291,0.7362263,2,11.6704553,1.49856032,2.42946964,22.0333891,0.392312,2.4887924,NA,NA,NA,0.9692051,0.07126392,fixed,8,0.1,2,2,8
ya15,EO,1.0364736,1.2274803,12.43377944,0.20769247,4.18800127,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9492204,0.05623772,fixed,8,0.1,2,2,8
ya16,EC,1.0150912,0.9443622,12.750013,1.2573037,3.1210635,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9492523,0.08364721,fixed,8,0.1,2,2,8
ya16,EO,1.4766799,1.4822056,10.59287644,0.21969669,3.25246414,19.2614178,0.1270513,5.4222528,NA,NA,NA,NA,NA,NA,0.9884981,0.03391988,fixed,8,0.1,2,2,8
ya17,EC,0.7764598,0.7982944,13.6347055,1.1460045,2.9157177,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9367103,0.07959751,fixed,8,0.1,2,2,8
ya17,EO,0.7561574,0.7887557,13.98145578,0.21061431,2.47371488,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8405153,0.06808542,fixed,8,0.1,2,2,8
ya18,EC,0.8676261,1.05004,11.7892483,1.6133178,2.6993476,22.26109116,0.34854695,2.75703081,NA,NA,NA,NA,NA,NA,0.9854116,0.05606886,fixed,8,0.1,2,2,8
ya18,EO,1.0329494,1.2977092,11.85131012,0.41923851,3.44665939,21.9988225,0.1180554,2,NA,NA,NA,NA,NA,NA,0.9909564,0.02831694,fixed,8,0.1,2,2,8
ya19,EC,0.5407062,0.494918,12.2216136,0.7257539,2,15.73117524,0.22968393,3.40257786,NA,NA,NA,NA,NA,NA,0.9775623,0.02434518,fixed,8,0.1,2,2,8
ya19,EO,1.0537139,0.8582407,11.68455035,0.16070304,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8618857,0.06905049,fixed,8,0.1,2,2,8
ya21,EC,0.7852419,0.8880955,12.1883183,1.4858302,3.1028113,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9119432,0.13182028,fixed,8,0.1,2,2,8
ya21,EO,0.9516896,1.1722471,12.81228486,0.79044872,3.29348724,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9671315,0.06762525,fixed,8,0.1,2,2,8
ya22,EC,1.4756114,1.1233407,10.9294184,0.8712617,2.2239843,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.968898,0.05619923,fixed,8,0.1,2,2,8
ya22,EO,0.8325061,0.8528598,11.23697865,0.90636047,2.1110927,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9521295,0.06047568,fixed,8,0.1,2,2,8
